,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,DBCV
K-Means,0.41664341513732767,0.874551051002418,125.10094020060954,3.572937718719898
Agglomerative,0.39002826186267214,0.9162886109753661,107.82656032570374,3.539377228851105
DBSCAN,0.18451372756506046,1.7569458461701164,34.07053246361936,
HDBSCAN,0.18783695469209116,1.7656134501581473,29.919490714947766,
CSPA,0.41327482008043537,0.8788598832881217,122.27344930162162,3.5361475905838033
HGPA,0.40149514134843556,0.8985810930733186,110.75645365004151,3.4935920359797428
MCLA,0.4156369233159001,0.8774242485171058,124.33074993460741,3.55225437884436
